period_end_date,inventory,homes_sold,median_sale_price
2020-01-01,1250798,377964,289000
2020-02-01,1265253,405992,294000
2020-03-01,1316823,507324,303000
2020-04-01,1297460,436855,304000
2020-05-01,1289500,421351,299000
2020-06-01,1219863,587635,310000
2020-07-01,1165359,700733,323000
2020-08-01,1066903,652878,328000
2012-02-01,2078931,304737,160000
2012-03-01,2120173,394034,171000
2012-04-01,2155803,404927,178000
2012-05-01,2163303,464281,186000
2012-06-01,2145658,487959,194000
2012-07-01,2109202,451243,192000
2012-08-01,2048712,485480,190000
2012-09-01,2010080,392397,187000
2012-10-01,1936114,423079,185000
2012-11-01,1823542,398471,189000
2012-12-01,1666931,391200,193000
2013-01-01,1680276,311458,180000
2013-02-01,1715241,322111,181000
2013-03-01,1758071,419901,193000
2013-04-01,1842873,459989,199000
2013-05-01,1911782,534797,209000
2013-06-01,1953106,526615,219000
2013-07-01,1983624,548495,220000
2013-08-01,1984408,537397,217000
2013-09-01,1990299,448002,210000
2013-10-01,1963663,447647,210000
2013-11-01,1863258,384211,208000
2013-12-01,1698019,408673,212000
2014-01-01,1713791,303454,200000
2014-02-01,1748964,310918,201000
2014-03-01,1820559,392509,210000
2014-04-01,1889755,444227,215000
2014-05-01,1963564,507516,222000
2014-06-01,2040323,542753,229000
2014-07-01,2114760,534616,229000
2014-08-01,2104706,514686,226000
2014-09-01,2090802,469975,220000
2014-10-01,2030677,480451,219000
2014-11-01,1905627,378599,220000
2014-12-01,1734475,445766,222000
2015-01-01,1738614,309723,213000
2015-02-01,1751581,336264,215000
2015-03-01,1811084,459391,225000
2015-04-01,1925430,496899,231000
2015-05-01,2011729,545672,239000
2015-06-01,2047119,633602,245000
2015-07-01,2062443,624705,242000
2015-08-01,2032207,564118,240000
2015-09-01,2002245,525632,234000
2015-10-01,1930467,496814,233000
2015-11-01,1803188,393948,234000
2015-12-01,1615706,489030,238000
2016-01-01,1604314,341903,228000
2016-02-01,1639331,365754,227000
2016-03-01,1719652,486821,239000
2016-04-01,1793818,526883,245000
2016-05-01,1831656,591629,252000
2016-06-01,1871580,661162,259000
2016-07-01,1890218,584704,257000
2016-08-01,1850571,614179,256000
2016-09-01,1830744,552047,253000
2016-10-01,1746324,502638,251000
2016-11-01,1611721,476043,254000
2016-12-01,1426958,497955,254000
2017-01-01,1415212,361174,247000
2017-02-01,1446179,369326,247000
2017-03-01,1522912,534054,257000
2017-04-01,1586017,516942,263000
2017-05-01,1645405,631410,269000
2017-06-01,1704387,692914,277000
2017-07-01,1716298,592302,273000
2017-08-01,1696710,629131,271000
2017-09-01,1676769,535338,268000
2017-10-01,1606239,526858,268000
2017-11-01,1479362,495462,270000
2017-12-01,1299249,499650,271000
2018-01-01,1286362,366414,264000
2018-02-01,1327008,377871,268000
2018-03-01,1385696,520689,277000
2018-04-01,1465347,544884,281000
2018-05-01,1570615,633938,287000
2018-06-01,1645582,670694,292000
2018-07-01,1668224,623847,287000
2018-08-01,1691330,640299,284000
2018-09-01,1711008,499189,278000
2018-10-01,1679657,528733,277000
2018-11-01,1577743,479668,279000
2018-12-01,1406298,445037,277000
2019-01-01,1421187,336063,272000
2019-02-01,1439784,374990,275000
2019-03-01,1494395,490722,283000
2019-04-01,1563284,550804,290000
2019-05-01,1657511,647282,298000
2019-06-01,1696761,624623,303000
2019-07-01,1681451,636452,299000
2019-08-01,1660309,627929,296000
2019-09-01,1651469,532688,292000
2019-10-01,1598498,543858,293000
2019-11-01,1459546,480575,294000
2019-12-01,1260286,511937,295000
